id,code
Afrikaans
Albanian
Arabic
Armenian
Azerbaijani
Basque
Belarusian
Bengali
Bulgarian
Catalan
Chinese
Croatian
Czech
Danish
Dutch
English
Esperanto
Estonian
Finnish
French
Ganda
Georgian
German
Greek
Gujarati
Hebrew
Hindi
Hungarian
Icelandic
Indonesian
Irish
Italian
Japanese
Kazakh
Korean
Latin
Latvian
Lithuanian
Macedonian
Malay
Maori
Marathi
Mongolian
Nynorsk
Persian
Polish
Portuguese
Punjabi
Romanian
Russian
Serbian
Shona
Slovak
Slovene
Somali
Sotho
Spanish
Swahili
Swedish
Tagalog
Tamil
Telugu
Thai
Tsonga
Tswana
Turkish
Ukrainian
Urdu
Vietnamese
Welsh
Xhosa
Yoruba
Zulu
